instrument,model,side,bias,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
NQ,S3,long,RISK_ON,2015-10-21 00:00:00+00:00,2015-11-12 00:00:00+00:00,4414.0,4586.0,2.9325735992402664,0.014662867996201333,19,EMA_TRAIL,True
YM,S2,long,RISK_ON,2015-10-22 00:00:00+00:00,2015-12-09 00:00:00+00:00,17448.0,17504.0,0.11102456985059797,0.0005551228492529899,41,SMA50_BREAK,False
ES,S3,long,RISK_ON,2015-11-23 00:00:00+00:00,2015-11-24 00:00:00+00:00,2083.75,2066.598214285714,-1.0,-0.005,1,SL,False
NQ,S3,long,RISK_ON,2015-11-23 00:00:00+00:00,2015-11-24 00:00:00+00:00,4673.25,4625.0625,-1.0,-0.005,1,SL,False
ES,S3,long,RISK_ON,2015-11-24 00:00:00+00:00,2015-12-03 00:00:00+00:00,2084.0,2053.1696428571427,-1.0,-0.005,8,SL,False
NQ,S3,long,RISK_ON,2015-11-24 00:00:00+00:00,2015-12-03 00:00:00+00:00,4663.5,4663.5,0.2988200233579009,0.0014941001167895047,8,STOP_AFTER_TP1,True
NQ,S3,long,RISK_ON,2015-12-07 00:00:00+00:00,2015-12-08 00:00:00+00:00,4680.25,4644.75,-1.0,-0.005,1,SL,False
NQ,S3,long,RISK_ON,2016-03-07 00:00:00+00:00,2016-03-10 00:00:00+00:00,4275.5,4234.196428571428,-1.0,-0.005,3,SL,False
ES,S3,long,RISK_ON,2016-03-08 00:00:00+00:00,2016-04-11 00:00:00+00:00,1982.25,2035.75,2.2731737262124043,0.011365868631062022,28,EMA_TRAIL,True
NQ,S3,long,RISK_ON,2016-03-23 00:00:00+00:00,2016-04-22 00:00:00+00:00,4392.25,4466.75,1.9067840497151591,0.009533920248575797,25,EMA_TRAIL,True
YM,S3,long,RISK_ON,2016-03-23 00:00:00+00:00,2016-03-24 00:00:00+00:00,17419.0,17305.214285714286,-1.0,-0.005,1,SL,False
YM,S2,long,RISK_ON,2016-03-29 00:00:00+00:00,2016-05-05 00:00:00+00:00,17572.0,17554.0,-0.05213074058750525,-0.00026065370293752623,32,SMA50_BREAK,False
