ticker,ts,ann_date,session,est,act,surp
HSY,2022-02-03 06:00:00-05:00,2022-02-03,bmo,1.61,1.69,4.68
HSY,2022-04-28 06:00:00-04:00,2022-04-28,bmo,2.1,2.53,20.57
HSY,2022-07-28 06:00:00-04:00,2022-07-28,bmo,1.68,1.8,6.93
HSY,2022-11-04 06:00:00-04:00,2022-11-04,bmo,2.1,2.17,3.2
HSY,2023-02-02 06:00:00-05:00,2023-02-02,bmo,1.77,2.02,13.95
HSY,2023-04-27 06:00:00-04:00,2023-04-27,bmo,2.67,2.96,11.07
HSY,2023-07-27 06:00:00-04:00,2023-07-27,bmo,1.91,2.01,4.97
HSY,2023-10-26 06:00:00-04:00,2023-10-26,bmo,2.45,2.6,5.96
HSY,2024-02-08 06:00:00-05:00,2024-02-08,bmo,1.96,2.02,3.28
HSY,2024-05-03 06:00:00-04:00,2024-05-03,bmo,2.76,3.07,11.17
HSY,2024-08-01 06:00:00-04:00,2024-08-01,bmo,1.32,0.89,-32.5
HSY,2024-11-07 06:00:00-05:00,2024-11-07,bmo,2.55,2.34,-8.29
HSY,2025-02-06 06:00:00-05:00,2025-02-06,bmo,2.38,2.69,13.26
HSY,2025-05-01 06:00:00-04:00,2025-05-01,bmo,1.93,2.09,8.03
HSY,2025-07-30 06:00:00-04:00,2025-07-30,bmo,1.0,1.21,20.42
HSY,2025-10-30 06:00:00-04:00,2025-10-30,bmo,1.06,1.3,22.22
WBA,2022-01-06 07:00:00-05:00,2022-01-06,bmo,1.34,1.68,25.54
WBA,2022-03-31 07:00:00-04:00,2022-03-31,bmo,1.4,1.59,13.87
WBA,2022-06-30 07:00:00-04:00,2022-06-30,bmo,0.92,0.96,3.89
WBA,2022-10-13 07:00:00-04:00,2022-10-13,bmo,0.77,0.8,3.75
WBA,2023-01-05 07:00:00-05:00,2023-01-05,bmo,1.14,1.16,1.5
WBA,2023-03-28 07:00:00-04:00,2023-03-28,bmo,1.11,1.16,4.58
WBA,2023-06-27 07:00:00-04:00,2023-06-27,bmo,1.07,1.0,-6.41
WBA,2023-10-12 07:00:00-04:00,2023-10-12,bmo,0.69,0.67,-2.19
WBA,2024-01-04 07:00:00-05:00,2024-01-04,bmo,0.62,0.66,6.44
WBA,2024-03-28 07:00:00-04:00,2024-03-28,bmo,0.82,1.2,45.75
WBA,2024-06-27 07:00:00-04:00,2024-06-27,bmo,0.71,0.63,-11.03
WBA,2024-10-15 07:00:00-04:00,2024-10-15,bmo,0.36,0.39,9.39
WBA,2025-01-10 07:00:00-05:00,2025-01-10,bmo,-0.1,-0.31,-213.64
WBA,2025-04-08 07:00:00-04:00,2025-04-08,bmo,0.52,0.63,20.42
WBA,2025-06-26 07:00:00-04:00,2025-06-26,bmo,0.34,0.38,11.91
CVX,2021-01-29 07:00:00-05:00,2021-01-29,bmo,0.09,-0.01,-111.36
CVX,2021-04-30 06:00:00-04:00,2021-04-30,bmo,0.94,0.9,-4.57
CVX,2021-07-30 06:00:00-04:00,2021-07-30,bmo,1.6,1.71,6.57
CVX,2021-10-29 06:00:00-04:00,2021-10-29,bmo,2.19,2.96,35.04
CVX,2022-01-28 06:00:00-05:00,2022-01-28,bmo,3.12,2.56,-18.04
CVX,2022-04-29 06:00:00-04:00,2022-04-29,bmo,3.45,3.36,-2.68
CVX,2022-07-29 06:00:00-04:00,2022-07-29,bmo,5.03,5.82,15.68
CVX,2022-10-28 06:00:00-04:00,2022-10-28,bmo,4.92,5.56,13.09
CVX,2023-01-27 06:00:00-05:00,2023-01-27,bmo,4.3,4.09,-4.82
CVX,2023-04-28 06:00:00-04:00,2023-04-28,bmo,3.38,3.55,5.06
CVX,2023-07-23 16:00:00-04:00,2023-07-23,amc,2.98,3.08,3.52
CVX,2023-10-27 03:00:00-04:00,2023-10-27,bmo,3.68,3.05,-17.07
CVX,2024-02-02 06:00:00-05:00,2024-02-02,bmo,3.22,3.45,7.26
CVX,2024-04-26 03:00:00-04:00,2024-04-26,bmo,2.91,2.93,0.59
CVX,2024-08-02 06:00:00-04:00,2024-08-02,bmo,3.0,2.55,-14.9
CVX,2024-11-01 06:00:00-04:00,2024-11-01,bmo,2.42,2.51,3.86
CVX,2025-01-31 06:00:00-05:00,2025-01-31,bmo,2.11,2.06,-2.28
CVX,2025-05-02 06:00:00-04:00,2025-05-02,bmo,2.15,2.18,1.31
CVX,2025-08-01 06:00:00-04:00,2025-08-01,bmo,1.74,1.77,1.71
CVX,2025-10-31 06:00:00-04:00,2025-10-31,bmo,1.53,1.82,18.78
COF,2022-01-25 16:00:00-05:00,2022-01-25,amc,5.19,5.41,4.16
COF,2022-04-26 16:00:00-04:00,2022-04-26,amc,5.46,5.62,2.91
COF,2022-07-21 16:00:00-04:00,2022-07-21,amc,5.05,4.96,-1.74
COF,2022-10-27 16:00:00-04:00,2022-10-27,amc,5.04,4.2,-16.71
COF,2023-01-24 16:00:00-05:00,2023-01-24,amc,3.86,2.82,-26.93
COF,2023-04-27 16:00:00-04:00,2023-04-27,amc,3.89,2.31,-40.56
COF,2023-07-20 16:00:00-04:00,2023-07-20,amc,3.24,3.52,8.75
COF,2023-10-26 16:00:00-04:00,2023-10-26,amc,3.24,4.45,37.56
COF,2024-01-25 16:00:00-05:00,2024-01-25,amc,2.67,2.24,-15.96
COF,2024-04-25 16:00:00-04:00,2024-04-25,amc,3.38,3.21,-4.9
COF,2024-07-23 16:00:00-04:00,2024-07-23,amc,3.39,3.14,-7.4
COF,2024-10-24 16:00:00-04:00,2024-10-24,amc,3.76,4.51,19.97
COF,2025-01-21 16:00:00-05:00,2025-01-21,amc,2.8,3.09,10.37
COF,2025-04-22 16:00:00-04:00,2025-04-22,amc,3.65,4.06,11.19
COF,2025-07-22 16:00:00-04:00,2025-07-22,amc,3.7,5.48,47.99
COF,2025-10-21 16:00:00-04:00,2025-10-21,amc,4.36,5.95,36.42
PEG,2021-02-26 07:00:00-05:00,2021-02-26,bmo,0.64,0.65,1.28
PEG,2021-05-05 07:00:00-04:00,2021-05-05,bmo,1.12,1.28,14.15
PEG,2021-08-03 07:00:00-04:00,2021-08-03,bmo,0.7,0.7,-0.49
PEG,2021-11-02 07:00:00-04:00,2021-11-02,bmo,0.93,0.98,5.52
PEG,2022-02-24 07:00:00-05:00,2022-02-24,bmo,0.67,0.69,3.49
PEG,2022-05-03 07:00:00-04:00,2022-05-03,bmo,1.12,1.33,18.62
PEG,2022-08-02 07:00:00-04:00,2022-08-02,bmo,0.64,0.64,-0.41
PEG,2022-10-31 07:00:00-04:00,2022-10-31,bmo,0.83,0.86,4.24
PEG,2023-02-21 07:00:00-05:00,2023-02-21,bmo,0.62,0.64,2.59
PEG,2023-05-02 07:00:00-04:00,2023-05-02,bmo,1.25,1.39,11.59
PEG,2023-08-01 07:00:00-04:00,2023-08-01,bmo,0.62,0.7,12.3
PEG,2023-10-31 07:00:00-04:00,2023-10-31,bmo,0.75,0.85,13.0
PEG,2024-02-26 07:00:00-05:00,2024-02-26,bmo,0.52,0.54,3.74
PEG,2024-04-30 07:00:00-04:00,2024-04-30,bmo,1.32,1.31,-0.68
PEG,2024-07-30 07:00:00-04:00,2024-07-30,bmo,0.62,0.63,1.04
PEG,2024-11-04 07:00:00-05:00,2024-11-04,bmo,0.88,0.9,2.67
PEG,2025-02-25 07:00:00-05:00,2025-02-25,bmo,0.83,0.84,1.47
PEG,2025-04-30 07:00:00-04:00,2025-04-30,bmo,1.43,1.43,-0.23
PEG,2025-08-05 07:00:00-04:00,2025-08-05,bmo,0.7,0.77,10.25
PEG,2025-11-03 07:00:00-05:00,2025-11-03,bmo,1.01,1.13,11.57
STT,2021-01-19 07:00:00-05:00,2021-01-19,bmo,1.55,1.69,8.83
STT,2021-04-16 07:00:00-04:00,2021-04-16,bmo,1.34,1.47,9.32
STT,2021-07-16 07:00:00-04:00,2021-07-16,bmo,1.8,1.97,9.72
STT,2021-10-18 07:00:00-04:00,2021-10-18,bmo,1.92,2.0,4.16
STT,2022-01-19 07:00:00-05:00,2022-01-19,bmo,1.89,2.0,5.94
STT,2022-04-14 07:00:00-04:00,2022-04-14,bmo,1.48,1.59,7.71
STT,2022-07-15 08:00:00-04:00,2022-07-15,bmo,1.73,1.94,12.35
STT,2022-10-18 07:00:00-04:00,2022-10-18,bmo,1.78,1.82,2.2
STT,2023-01-20 07:00:00-05:00,2023-01-20,bmo,1.96,2.07,5.78
STT,2023-04-17 07:00:00-04:00,2023-04-17,bmo,1.64,1.52,-7.57
STT,2023-07-14 07:00:00-04:00,2023-07-14,bmo,2.1,2.17,3.44
STT,2023-10-18 07:00:00-04:00,2023-10-18,bmo,1.83,1.93,5.24
STT,2024-01-19 07:00:00-05:00,2024-01-19,bmo,1.83,2.04,11.51
STT,2024-04-12 07:00:00-04:00,2024-04-12,bmo,1.5,1.69,12.79
STT,2024-07-16 07:00:00-04:00,2024-07-16,bmo,2.02,2.15,6.28
STT,2024-10-15 07:00:00-04:00,2024-10-15,bmo,2.12,2.26,6.6
STT,2025-01-17 07:00:00-05:00,2025-01-17,bmo,2.44,2.6,6.51
STT,2025-04-17 07:00:00-04:00,2025-04-17,bmo,2.01,2.04,1.7
STT,2025-07-15 07:00:00-04:00,2025-07-15,bmo,2.36,2.53,7.06
STT,2025-10-17 07:00:00-04:00,2025-10-17,bmo,2.65,2.78,4.98
ADP,2021-01-27 07:00:00-05:00,2021-01-27,bmo,1.29,1.52,18.15
ADP,2021-04-28 06:00:00-04:00,2021-04-28,bmo,1.78,1.89,5.94
ADP,2021-07-28 06:00:00-04:00,2021-07-28,bmo,1.14,1.2,5.37
ADP,2021-10-27 06:00:00-04:00,2021-10-27,bmo,1.49,1.65,10.98
ADP,2022-01-26 06:00:00-05:00,2022-01-26,bmo,1.63,1.65,1.25
ADP,2022-04-27 06:00:00-04:00,2022-04-27,bmo,2.08,2.21,6.38
ADP,2022-07-27 06:00:00-04:00,2022-07-27,bmo,1.47,1.5,2.38
