symbol,asset_class,report_week_ts,release_ts,entry_week_open_ts,entry_ts,exit_ts,direction,at_extreme,cot_index,net_change,net_change_sigma,limit_px,week_open_px,gap_pct,filled_at_open,entry_px,stop_px,exit_px,exit_reason,ret_pct,r_multiple,year,bars_held
6E,FX,1502668800,1503100800,1503266400,1503266400,1503871200,1,True,95.5,-14418,1.174,1.17785,1.1777,-0.0127,True,1.1778,1.166022,1.1955500000000001,TIME,1.5070470368483746,1.5070470368483746,2017,30
ES,Index,1502668800,1503100800,1503266400,1503266400,1503424800,-1,True,89.58,73228,1.782,2425.0,2428.75,0.1546,True,2428.5,2452.785,2453.035,STOP,-1.0102944204241242,-1.010294420424124,2017,12
6E,FX,1504483200,1504915200,1505080800,1505469600,1505685600,-1,True,100.0,9790,0.815,1.20395,1.2029,-0.0872,False,1.20385,1.2158885000000001,1.1996,TIME,0.3530340158657712,0.3530340158657712,2017,3
6E,FX,1505088000,1505520000,1505685600,1505685600,1506290400,1,True,96.83,-10251,0.846,1.20025,1.1995,-0.0625,True,1.1996,1.1876039999999999,1.19695,TIME,-0.22090696898966664,-0.22090696898966664,2017,30
ES,Index,1505088000,1505520000,1505685600,1505685600,1506290400,-1,True,97.49,30128,0.751,2500.0,2499.0,-0.04,False,2499.75,2524.7475,2499.25,TIME,0.020002000200020003,0.020002000200020003,2017,30
6A,FX,1505692800,1506124800,1506290400,1506290400,1506895200,-1,True,100.0,9479,1.257,0.7954,0.7948,-0.0754,False,0.7953,0.803253,0.7832,TIME,1.5214384508990317,1.5214384508990317,2017,30
6E,FX,1505692800,1506124800,1506290400,1506290400,1506420000,1,True,89.61,-23305,1.846,1.20015,1.19705,-0.2583,True,1.19715,1.1851785,1.1850785,STOP,-1.0083531721171126,-1.0083531721171126,2017,10
ES,Index,1505692800,1506124800,1506290400,1506290400,1506895200,-1,False,79.36,-86701,2.067,2499.75,2499.0,-0.03,False,2499.5,2524.495,2518.25,TIME,-0.7501500300060012,-0.7501500300060012,2017,30
ES,Index,1507507200,1507939200,1508104800,1508104800,1508709600,-1,True,87.55,38996,0.963,2552.5,2552.25,-0.0098,False,2552.25,2577.7725,2573.0,TIME,-0.8130081300813009,-0.8130081300813009,2017,30
6A,FX,1508112000,1508544000,1508709600,1508709600,1508882400,1,True,90.01,-7382,0.977,0.7811,0.7811,0.0,True,0.7812,0.773388,0.773288,STOP,-1.012800819252436,-1.012800819252436,2017,13
ES,Index,1508716800,1509148800,1509314400,1509314400,1509922800,1,True,84.75,-34800,0.877,2577.25,2575.5,-0.0679,True,2575.75,2549.9925,2579.75,TIME,0.15529457439580704,0.15529457439580704,2017,30
6E,FX,1509321600,1509753600,1509922800,1509922800,1510527600,1,True,92.0,-11407,0.925,1.1634,1.16395,0.0473,False,1.1635,1.151865,1.16765,TIME,0.3566824237215383,0.3566824237215383,2017,30
