instrument,ts,side,fcode,r,bars,reason,klass
GBPJPY,2013-12-11 00:00:00+00:00,long,1,-1.0733286469673373,0,SAME_BAR_SL,fx_cross
AUDJPY,2013-12-11 00:00:00+00:00,long,2,-1.0115328771384136,5,SL,fx_cross
AUDCAD,2013-12-12 00:00:00+00:00,long,1,-1.0159677824267783,2,SL,fx_cross
EURJPY,2013-12-13 00:00:00+00:00,long,2,2.476580555227407,11,TP,fx_cross
USDJPY,2013-12-16 00:00:00+00:00,long,2,2.4834116129032258,9,TP,fx_major
GBPCHF,2013-12-16 00:00:00+00:00,long,2,2.4735293717277482,2,TP,fx_cross
EURCAD,2013-12-16 00:00:00+00:00,short,3,-1.0199602835492543,2,SL,fx_cross
GBPUSD,2013-12-18 00:00:00+00:00,short,3,-1.0453246809559005,0,SAME_BAR_SL,fx_major
EURGBP,2013-12-18 00:00:00+00:00,long,2,-1.0518754620918656,0,SAME_BAR_SL,fx_cross
ES,2013-12-18 00:00:00+00:00,short,3,-1.0206371428571428,2,SL,indices
YM,2013-12-18 00:00:00+00:00,short,3,-1.0097493738140417,2,SL,indices
CADCHF,2013-12-18 00:00:00+00:00,short,4,-1.0192081033422185,1,SL,fx_cross
NQ,2013-12-18 00:00:00+00:00,short,3,-1.0110207371007371,2,SL,indices
GBPCAD,2013-12-18 00:00:00+00:00,short,4,-1.0215685225505446,0,SAME_BAR_SL,fx_cross
CADJPY,2013-12-19 00:00:00+00:00,short,4,2.4922201366353542,30,TP,fx_cross
EURCAD,2013-12-20 00:00:00+00:00,short,3,-1.015318035982009,6,SL,fx_cross
CADCHF,2013-12-27 00:00:00+00:00,long,2,-1.0220338309394867,0,SAME_BAR_SL,fx_cross
USDCHF,2013-12-27 00:00:00+00:00,long,1,-1.0142771935853379,0,SAME_BAR_SL,fx_major
EURUSD,2013-12-27 00:00:00+00:00,short,3,-1.021958008275074,0,SAME_BAR_SL,fx_major
USDCAD,2013-12-30 00:00:00+00:00,long,2,2.4812646385920805,9,TP,fx_major
AUDUSD,2013-12-31 00:00:00+00:00,long,2,-1.01070619980726,13,SL,fx_major
USDCHF,2013-12-31 00:00:00+00:00,short,3,-1.0171077408296196,2,SL,fx_major
AUDNZD,2014-01-01 00:00:00+00:00,long,2,-1.013009877708646,11,SL,fx_cross
GBPAUD,2014-01-01 00:00:00+00:00,short,3,-1.0314530089164267,1,SL,fx_cross
EURGBP,2014-01-01 00:00:00+00:00,long,2,-1.0208980616145718,6,SL,fx_cross
EURUSD,2014-01-01 00:00:00+00:00,long,1,-1.0405414056330606,1,SL,fx_major
GBPNZD,2014-01-01 00:00:00+00:00,short,3,-1.0314717354453227,1,SL,fx_cross
GBPCHF,2014-01-01 00:00:00+00:00,short,4,-1.023776592933065,1,SL,fx_cross
CL,2014-01-02 00:00:00+00:00,long,2,-1.016981098901099,0,SAME_BAR_SL,commodities
GBPCAD,2014-01-02 00:00:00+00:00,long,2,2.4898874499277306,16,TP,fx_cross
GBPUSD,2014-01-02 00:00:00+00:00,long,1,-1.0271761847330496,0,SAME_BAR_SL,fx_major
AUDCHF,2014-01-03 00:00:00+00:00,short,4,-1.0263445671121443,4,SL,fx_cross
USDCHF,2014-01-03 00:00:00+00:00,short,4,-1.018786079196877,3,SL,fx_major
GBPAUD,2014-01-03 00:00:00+00:00,long,2,2.4744645734981896,4,TP,fx_cross
USDJPY,2014-01-06 00:00:00+00:00,short,4,-1.0636298481561806,2,SL,fx_major
GBPJPY,2014-01-06 00:00:00+00:00,short,4,2.402252170385406,1,TP,fx_cross
NZDCHF,2014-01-07 00:00:00+00:00,short,4,-1.005025462791669,69,SL,fx_cross
EURCAD,2014-01-07 00:00:00+00:00,short,3,-1.0079247874872492,3,SL,fx_cross
CADCHF,2014-01-07 00:00:00+00:00,long,2,-1.0067058182592041,3,SL,fx_cross
GBPJPY,2014-01-08 00:00:00+00:00,short,4,-1.0977478296145942,0,SAME_BAR_SL,fx_cross
EURAUD,2014-01-09 00:00:00+00:00,short,4,-1.0123212442660552,12,SL,fx_cross
EURGBP,2014-01-10 00:00:00+00:00,short,3,-1.0289369364881695,2,SL,fx_cross
NQ,2014-01-10 00:00:00+00:00,long,2,-1.008915187376726,2,SL,indices
GBPJPY,2014-01-13 00:00:00+00:00,long,1,-1.0069533470225873,18,SL,fx_cross
GBPNZD,2014-01-13 00:00:00+00:00,long,2,-1.0233348310810815,0,SAME_BAR_SL,fx_cross
GBPUSD,2014-01-14 00:00:00+00:00,short,3,-1.0296816234498312,7,SL,fx_major
ES,2014-01-14 00:00:00+00:00,short,3,-1.0092939682539683,1,SL,indices
EURGBP,2014-01-15 00:00:00+00:00,long,1,2.42037155098543,1,TP,fx_cross
CL,2014-01-15 00:00:00+00:00,short,4,-1.0063484745762712,2,SL,commodities
GBPCHF,2014-01-15 00:00:00+00:00,short,4,-1.108020077821007,0,SAME_BAR_SL,fx_cross
AUDCAD,2014-01-15 00:00:00+00:00,long,1,-1.0243149808859904,1,SL,fx_cross
EURCAD,2014-01-15 00:00:00+00:00,long,1,-1.0198712687455371,3,SL,fx_cross
USDCHF,2014-01-15 00:00:00+00:00,long,2,-1.0122113523260008,7,SL,fx_major
