instrument,ts,side,fcode,r,bars,reason,klass
AUDCHF,2013-02-15 14:00:00+00:00,long,1,2.481052636072572,75,TP,fx_cross
CADCHF,2013-02-15 14:00:00+00:00,long,1,-1.084339589153655,0,SAME_BAR_SL,fx_cross
USDJPY,2013-02-17 22:00:00+00:00,short,4,-1.0202648988244365,30,SL,fx_major
EURNZD,2013-02-18 06:00:00+00:00,short,4,-1.0271834047764852,11,SL,fx_cross
NZDCHF,2013-02-18 06:00:00+00:00,long,1,-1.0334135481396243,11,SL,fx_cross
GBPCAD,2013-02-18 18:00:00+00:00,long,1,-1.0200622629409066,9,SL,fx_cross
GBPAUD,2013-02-18 22:00:00+00:00,long,2,-1.032324144838212,4,SL,fx_cross
NZDUSD,2013-02-19 02:00:00+00:00,long,2,-1.0402234812286675,7,SL,fx_major
AUDUSD,2013-02-19 10:00:00+00:00,short,3,2.46279812459859,8,TP,fx_major
AUDCAD,2013-02-19 14:00:00+00:00,short,4,2.420251358695655,7,TP,fx_cross
AUDNZD,2013-02-20 02:00:00+00:00,short,3,-1.0881591293213817,0,SAME_BAR_SL,fx_cross
GBPNZD,2013-02-20 02:00:00+00:00,short,3,2.4738300331548078,17,TP,fx_cross
NZDCAD,2013-02-20 02:00:00+00:00,long,1,-1.0619377375565588,0,SAME_BAR_SL,fx_cross
NZDJPY,2013-02-20 02:00:00+00:00,long,2,-1.0284367532884187,0,SAME_BAR_SL,fx_cross
NZDCHF,2013-02-20 06:00:00+00:00,long,2,2.4669507986243784,13,TP,fx_cross
EURCAD,2013-02-20 06:00:00+00:00,short,4,2.4392943917032297,3,TP,fx_cross
CADJPY,2013-02-20 06:00:00+00:00,short,4,2.484227606837607,21,TP,fx_cross
EURNZD,2013-02-20 06:00:00+00:00,short,3,2.4839730227557784,21,TP,fx_cross
NQ,2013-02-20 11:00:00+00:00,long,1,-1.026909090909091,1,SL,indices
EURUSD,2013-02-20 14:00:00+00:00,long,2,-1.0439047227926068,1,SL,fx_major
GBPUSD,2013-02-21 06:00:00+00:00,short,4,-1.1477982668977456,1,SL,fx_major
GBPCAD,2013-02-21 06:00:00+00:00,short,4,-1.076000490797554,0,SAME_BAR_SL,fx_cross
NZDJPY,2013-02-21 06:00:00+00:00,long,1,-1.0323549777117371,3,SL,fx_cross
