instrument,ts,side,fcode,r,bars,reason,klass
AUDCAD,2013-09-27 00:00:00+00:00,long,2,2.481267382317179,10,TP,fx_cross
NZDCAD,2013-09-27 00:00:00+00:00,short,3,-1.014550917083523,12,SL,fx_cross
GBPAUD,2013-09-27 00:00:00+00:00,short,4,-1.0144147822182308,1,SL,fx_cross
CL,2013-09-29 00:00:00+00:00,long,1,-1.0047464337700145,16,SL,commodities
GBPAUD,2013-10-03 00:00:00+00:00,long,1,-1.0214437759428698,1,SL,fx_cross
EURGBP,2013-10-03 00:00:00+00:00,short,4,-1.0219336812674742,1,SL,fx_cross
EURCAD,2013-10-04 00:00:00+00:00,long,1,2.4473432301480504,3,TP,fx_cross
USDCHF,2013-10-04 00:00:00+00:00,short,4,-1.0412323058153723,4,SL,fx_major
GBPUSD,2013-10-04 00:00:00+00:00,long,1,-1.0223617581326052,4,SL,fx_major
NZDCHF,2013-10-07 00:00:00+00:00,long,2,-1.0095408561371637,16,SL,fx_cross
USDJPY,2013-10-07 00:00:00+00:00,long,2,2.4886149217354765,31,TP,fx_major
YM,2013-10-08 00:00:00+00:00,long,2,2.4961300246507805,15,TP,indices
CADJPY,2013-10-08 00:00:00+00:00,long,1,2.4840868012752386,7,TP,fx_cross
ES,2013-10-08 00:00:00+00:00,long,1,2.494059831932773,7,TP,indices
NQ,2013-10-09 00:00:00+00:00,long,1,2.4952285035629456,6,TP,indices
EURUSD,2013-10-09 00:00:00+00:00,long,1,2.4669929483547612,7,TP,fx_major
USDCHF,2013-10-11 00:00:00+00:00,long,1,-1.0176612165450123,9,SL,fx_major
NZDJPY,2013-10-15 00:00:00+00:00,short,3,-1.012896518714345,6,SL,fx_cross
GBPCAD,2013-10-15 00:00:00+00:00,short,4,-1.039294182356675,1,SL,fx_cross
GBPUSD,2013-10-16 00:00:00+00:00,long,2,2.392961586538477,1,TP,fx_major
GBPAUD,2013-10-16 00:00:00+00:00,short,4,-1.0179780965990284,13,SL,fx_cross
GBPJPY,2013-10-16 00:00:00+00:00,short,3,-1.0087251933701658,25,SL,fx_cross
CL,2013-10-23 00:00:00+00:00,long,1,-1.0087981818181817,8,SL,commodities
AUDUSD,2013-10-23 00:00:00+00:00,long,1,-1.029997343663531,0,SAME_BAR_SL,fx_major
EURNZD,2013-10-23 00:00:00+00:00,short,4,-1.013377923946557,0,SAME_BAR_SL,fx_cross
AUDCAD,2013-10-23 00:00:00+00:00,long,1,-1.039381723163842,0,SAME_BAR_SL,fx_cross
GBPUSD,2013-10-23 00:00:00+00:00,long,1,-1.0350995929443685,4,SL,fx_major
AUDNZD,2013-10-23 00:00:00+00:00,short,4,-1.0169068174050213,3,SL,fx_cross
GBPNZD,2013-10-24 00:00:00+00:00,short,3,-1.00828805105995,25,SL,fx_cross
AUDUSD,2013-10-28 00:00:00+00:00,long,1,-1.0190633416458852,1,SL,fx_major
NZDCAD,2013-10-29 00:00:00+00:00,long,1,2.4828656093666845,30,TP,fx_cross
USDCHF,2013-10-30 00:00:00+00:00,short,4,-1.0353814435879474,1,SL,fx_major
