instrument,ts,side,fcode,r,bars,reason,klass
PL,2024-05-20 22:00:00+00:00,long,2,-1.0116579310344829,0,SAME_BAR_SL,metals
CL,2024-05-27 06:00:00+00:00,short,3,-1.0081344625407165,4,SL,commodities
EURCHF,2024-05-31 13:00:00+00:00,long,2,-1.065175743162901,5,SL,fx_cross
EURCHF,2024-06-14 13:00:00+00:00,long,1,-1.129869586374687,0,SAME_BAR_SL,fx_cross
GBPCHF,2024-06-14 13:00:00+00:00,long,1,-1.0278584588287099,11,SL,fx_cross
NZDJPY,2024-07-11 21:00:00+00:00,long,2,-1.0441212398042394,0,SAME_BAR_SL,fx_cross
RTY,2024-07-12 02:00:00+00:00,short,3,-1.0285593388429743,2,SL,indices
AUDCHF,2024-07-17 13:00:00+00:00,long,1,-1.089829433962267,1,SL,fx_cross
GBPNZD,2024-08-01 05:00:00+00:00,long,1,-1.0563649438202258,2,SL,fx_cross
EURNZD,2024-08-01 13:00:00+00:00,long,1,2.460605,6,TP,fx_cross
GBPAUD,2024-08-02 05:00:00+00:00,long,1,2.347342122905024,1,TP,fx_cross
EURGBP,2024-08-04 21:00:00+00:00,short,4,-1.093547397260279,2,SL,fx_cross
GBPJPY,2024-08-05 17:00:00+00:00,long,2,2.4935589457831324,119,TP,fx_cross
EURAUD,2024-08-07 09:00:00+00:00,long,2,-1.0295164963503651,43,SL,fx_cross
AUDCHF,2024-08-07 09:00:00+00:00,short,3,2.467276622039134,2,TP,fx_cross
NZDCHF,2024-08-07 09:00:00+00:00,short,3,-1.0274675757575749,1,SL,fx_cross
CADJPY,2024-08-07 13:00:00+00:00,short,4,-1.0212085190409022,35,SL,fx_cross
NZDJPY,2024-09-04 05:00:00+00:00,long,2,-1.0239271755725183,4,SL,fx_cross
EURNZD,2024-09-24 09:00:00+00:00,long,2,-1.029648963051251,0,SAME_BAR_SL,fx_cross
GBPAUD,2024-10-08 01:00:00+00:00,short,4,2.4299978406169656,18,TP,fx_cross
EURGBP,2024-10-31 09:00:00+00:00,short,3,-1.0917435616438325,0,SAME_BAR_SL,fx_cross
EURGBP,2024-10-31 13:00:00+00:00,short,4,2.4027167078189184,4,TP,fx_cross
CADCHF,2024-11-07 06:00:00+00:00,short,3,-1.028821272430669,30,SL,fx_cross
EURGBP,2024-12-13 14:00:00+00:00,short,3,2.4480418749999977,12,TP,fx_cross
YM,2025-01-27 19:00:00+00:00,short,4,-1.0177732837670384,5,SL,indices
NQ,2025-02-25 11:00:00+00:00,long,1,-1.0112452792718245,1,SL,indices
AUDNZD,2025-03-25 09:00:00+00:00,short,4,-1.1128164102564053,21,SL,fx_cross
GBPCHF,2025-04-04 01:00:00+00:00,long,1,-1.0740424586288462,1,SL,fx_cross
