instrument,ts,side,fcode,r,bars,reason,klass
GBPCHF,2020-11-11 06:00:00+00:00,short,3,-1.0461605420054205,0,SAME_BAR_SL,fx_cross
GBPAUD,2020-12-10 18:00:00+00:00,long,2,-1.0531885344827563,3,SL,fx_cross
EURCHF,2020-12-18 06:00:00+00:00,short,3,2.4298111778290985,5,TP,fx_cross
EURCHF,2021-02-01 02:00:00+00:00,short,3,-1.108900863309335,2,SL,fx_cross
NZDCAD,2021-02-19 18:00:00+00:00,short,3,-1.0609645390070928,1,SL,fx_cross
EURGBP,2021-02-26 06:00:00+00:00,short,3,2.4535535680304474,4,TP,fx_cross
AUDCAD,2021-02-26 14:00:00+00:00,long,1,2.4523109643788024,11,TP,fx_cross
AUDUSD,2021-02-26 14:00:00+00:00,long,2,-1.103769208633088,0,SAME_BAR_SL,fx_major
EURCAD,2021-04-07 01:00:00+00:00,short,3,-1.0414827777777784,1,SL,fx_cross
EURCAD,2021-04-07 13:00:00+00:00,short,4,2.4504459433962267,11,TP,fx_cross
GBPCAD,2021-04-20 13:00:00+00:00,short,4,2.449767198364009,6,TP,fx_cross
USDJPY,2021-04-27 13:00:00+00:00,short,3,-1.1438908056872146,0,SAME_BAR_SL,fx_major
EURGBP,2021-05-11 17:00:00+00:00,long,2,-1.2453314285714332,3,SL,fx_cross
CL,2021-05-24 22:00:00+00:00,short,3,-1.0054772093023256,18,SL,commodities
USDCAD,2021-06-18 09:00:00+00:00,short,3,-1.0520959759759752,1,SL,fx_major
USDCHF,2021-06-18 09:00:00+00:00,short,3,-1.1037205633802787,0,SAME_BAR_SL,fx_major
USDCHF,2021-06-18 13:00:00+00:00,short,4,-1.0673153585397648,1,SL,fx_major
NZDJPY,2021-06-18 13:00:00+00:00,long,2,-1.0370937024221452,3,SL,fx_cross
CADJPY,2021-06-21 01:00:00+00:00,long,1,-1.064535979112265,0,SAME_BAR_SL,fx_cross
PA,2021-07-16 10:00:00+00:00,long,1,-1.0083968316831684,0,SAME_BAR_SL,metals
RTY,2021-07-21 18:00:00+00:00,short,4,-1.0061994444444442,70,SL,indices
EURCHF,2021-08-09 17:00:00+00:00,short,4,-1.1630264150943448,3,SL,fx_cross
EURCHF,2021-08-17 05:00:00+00:00,long,2,-1.093770733229332,1,SL,fx_cross
NZDCAD,2021-08-18 21:00:00+00:00,long,2,2.464314298310066,4,TP,fx_cross
EURGBP,2021-08-22 21:00:00+00:00,short,4,2.4565205063291122,93,TP,fx_cross
USDCAD,2021-08-24 13:00:00+00:00,long,1,-1.2091691394658557,0,SAME_BAR_SL,fx_major
EURJPY,2021-09-23 17:00:00+00:00,short,3,-1.0867437320574267,3,SL,fx_cross
GBPJPY,2021-09-23 21:00:00+00:00,short,3,-1.0535304918032782,8,SL,fx_cross
NG,2021-09-28 14:00:00+00:00,short,3,-1.0011168224299065,34,SL,commodities
NKD,2021-10-04 14:00:00+00:00,long,1,-1.0206970114942528,0,SAME_BAR_SL,indices
AUDCAD,2021-10-20 21:00:00+00:00,short,3,-1.037444040404041,20,SL,fx_cross
CADCHF,2021-11-15 22:00:00+00:00,short,3,-1.0590468473609151,3,SL,fx_cross
EURGBP,2021-11-16 06:00:00+00:00,long,1,-1.0935532015810305,0,SAME_BAR_SL,fx_cross
AUDUSD,2021-12-08 14:00:00+00:00,short,4,2.4525190082644603,17,TP,fx_major
GBPCAD,2021-12-08 18:00:00+00:00,long,2,2.475782390067253,17,TP,fx_cross
GBPJPY,2021-12-23 14:00:00+00:00,short,3,2.3745583673469453,3,TP,fx_cross
GBPCHF,2022-01-13 10:00:00+00:00,long,1,-1.126027194244584,1,SL,fx_cross
CADJPY,2022-01-24 06:00:00+00:00,long,2,-1.0369563103953152,2,SL,fx_cross
EURJPY,2022-02-07 10:00:00+00:00,short,3,-1.031566164383563,17,SL,fx_cross
DAX,2022-03-07 16:00:00+00:00,long,2,2.496879815526518,10,TP,indices
CHFJPY,2022-04-19 17:00:00+00:00,short,3,2.479699100642398,23,TP,fx_cross
AUDJPY,2022-04-26 05:00:00+00:00,long,1,-1.0171198937230155,2,SL,fx_cross
CADCHF,2022-05-16 05:00:00+00:00,short,3,-1.0327181900452482,1,SL,fx_cross
USDJPY,2022-06-01 13:00:00+00:00,short,4,-1.042186016260166,1,SL,fx_major
AUDCAD,2022-06-07 05:00:00+00:00,long,2,-1.0222177427821526,6,SL,fx_cross
GBPJPY,2022-06-13 09:00:00+00:00,long,2,-1.0368108769107,1,SL,fx_cross
EURUSD,2022-06-13 09:00:00+00:00,long,1,-1.0197550303848741,14,SL,fx_major
GBPJPY,2022-06-14 05:00:00+00:00,long,2,-1.0471788429752085,1,SL,fx_cross
EURCHF,2022-06-17 09:00:00+00:00,long,2,2.443727236580513,1,TP,fx_cross
AUDJPY,2022-07-29 13:00:00+00:00,long,2,-1.0294783238958094,3,SL,fx_cross
USDJPY,2022-07-29 17:00:00+00:00,long,2,-1.0167045796064402,2,SL,fx_major
USDCHF,2022-09-08 21:00:00+00:00,long,2,-1.0981744927536277,1,SL,fx_major
AUDJPY,2022-09-14 09:00:00+00:00,long,2,2.4492152309142337,4,TP,fx_cross
GBPCAD,2022-09-29 21:00:00+00:00,short,3,-1.025231001177856,5,SL,fx_cross
GBPCHF,2022-09-30 05:00:00+00:00,short,4,-1.0229065274151434,4,SL,fx_cross
GBPCHF,2023-01-12 18:00:00+00:00,short,3,-1.0234542761940033,34,SL,fx_cross
AUDCHF,2023-03-07 06:00:00+00:00,long,2,-1.0353458823529404,3,SL,fx_cross
USDJPY,2023-03-10 06:00:00+00:00,long,2,-1.0351283977900567,2,SL,fx_major
USDCHF,2023-03-10 10:00:00+00:00,long,2,-1.0831843086816735,1,SL,fx_major
CADJPY,2023-03-13 09:00:00+00:00,long,1,2.474848650163475,4,TP,fx_cross
CADJPY,2023-03-30 09:00:00+00:00,short,3,-1.016432421430709,11,SL,fx_cross
PA,2023-04-18 06:00:00+00:00,short,4,-1.003005816023739,0,SAME_BAR_SL,metals
USDJPY,2023-04-30 21:00:00+00:00,short,3,-1.0408698290598275,4,SL,fx_major
AUDJPY,2023-04-30 21:00:00+00:00,short,3,-1.0268413997879113,1,SL,fx_cross
EURNZD,2023-05-25 13:00:00+00:00,short,4,-1.0300869174757281,21,SL,fx_cross
CHFJPY,2023-05-31 13:00:00+00:00,long,2,-1.0915767521367599,0,SAME_BAR_SL,fx_cross
GBPCHF,2023-06-01 13:00:00+00:00,short,3,2.470255917795422,12,TP,fx_cross
AUDCHF,2023-06-02 05:00:00+00:00,short,3,-1.0300603584229395,6,SL,fx_cross
AUDJPY,2023-06-02 17:00:00+00:00,short,4,-1.0217167812238053,8,SL,fx_cross
AUDCAD,2023-06-07 09:00:00+00:00,short,3,2.457121502988898,1,TP,fx_cross
AUDCAD,2023-06-20 13:00:00+00:00,long,2,-1.0776666253870006,5,SL,fx_cross
CADCHF,2023-07-13 05:00:00+00:00,long,1,-1.012980467091295,164,SL,fx_cross
AUDCAD,2023-07-13 13:00:00+00:00,short,4,2.4449813680781753,11,TP,fx_cross
GBPNZD,2023-08-23 13:00:00+00:00,long,1,-1.0281377830300151,41,SL,fx_cross
EURAUD,2023-08-23 13:00:00+00:00,long,2,-1.024392416472417,38,SL,fx_cross
EURGBP,2023-09-28 09:00:00+00:00,long,2,2.416009722222222,7,TP,fx_cross
CADCHF,2023-09-29 17:00:00+00:00,long,1,-1.0459643361753956,3,SL,fx_cross
GBPCHF,2023-10-16 09:00:00+00:00,long,2,-1.0246041025641024,13,SL,fx_cross
EURCHF,2023-10-23 21:00:00+00:00,short,4,-1.0490221731123384,22,SL,fx_cross
AUDNZD,2023-11-06 02:00:00+00:00,long,2,2.348288877805455,2,TP,fx_cross
USDCAD,2023-11-06 06:00:00+00:00,long,2,2.426703416506723,4,TP,fx_major
PA,2023-12-15 15:00:00+00:00,short,4,-1.004473488372093,6,SL,metals
YM,2024-01-02 15:00:00+00:00,short,3,2.481213972179289,17,TP,indices
EURGBP,2024-01-04 22:00:00+00:00,long,1,-1.0492680122324165,4,SL,fx_cross
PA,2024-02-15 11:00:00+00:00,short,4,-1.0034065934065934,19,SL,metals
EURJPY,2024-03-01 02:00:00+00:00,long,2,-1.0179147149036574,25,SL,fx_cross
NKD,2024-03-11 02:00:00+00:00,long,1,-1.0138865536723163,3,SL,indices
EURCAD,2024-04-04 05:00:00+00:00,short,4,-1.046897681324958,6,SL,fx_cross
NZDUSD,2024-04-04 09:00:00+00:00,short,4,2.429800165975098,4,TP,fx_major
AUDCAD,2024-04-04 09:00:00+00:00,short,3,-1.0569678538812808,2,SL,fx_cross
GBPAUD,2024-04-16 09:00:00+00:00,short,3,-1.0580981293425988,1,SL,fx_cross
EURNZD,2024-04-16 13:00:00+00:00,short,3,-1.2591124296676168,0,SAME_BAR_SL,fx_cross
DAX,2024-04-24 04:00:00+00:00,short,3,2.473308959276018,2,TP,indices
GBPCHF,2024-04-25 05:00:00+00:00,short,4,-1.0441950760719263,11,SL,fx_cross
CHFJPY,2024-04-29 09:00:00+00:00,short,3,-1.0055105849965589,192,SL,fx_cross
GBPJPY,2024-04-29 09:00:00+00:00,short,3,-1.0048386211760558,236,SL,fx_cross
USDJPY,2024-04-29 09:00:00+00:00,short,3,-1.004449141927613,262,SL,fx_major
NZDJPY,2024-04-29 09:00:00+00:00,short,3,-1.0050796151977455,100,SL,fx_cross
EURJPY,2024-04-29 09:00:00+00:00,short,3,-1.0047568788001622,267,SL,fx_cross
CADJPY,2024-04-29 13:00:00+00:00,short,3,-1.0046541825039896,277,SL,fx_cross
PL,2024-05-20 22:00:00+00:00,long,2,-1.0116579310344829,0,SAME_BAR_SL,metals
EURCHF,2024-05-30 09:00:00+00:00,long,1,-1.0427298289269056,3,SL,fx_cross
GBPCHF,2024-06-14 13:00:00+00:00,long,1,-1.0278584588287099,11,SL,fx_cross
EURCHF,2024-06-14 13:00:00+00:00,long,1,-1.129869586374687,0,SAME_BAR_SL,fx_cross
AUDNZD,2024-06-20 01:00:00+00:00,short,3,-1.184042054380669,2,SL,fx_cross
EURNZD,2024-07-11 21:00:00+00:00,short,4,-1.0582504428904442,8,SL,fx_cross
NZDJPY,2024-07-11 21:00:00+00:00,long,2,-1.0441212398042394,0,SAME_BAR_SL,fx_cross
AUDCHF,2024-07-17 13:00:00+00:00,long,1,-1.089829433962267,1,SL,fx_cross
NG,2024-07-22 06:00:00+00:00,short,3,-1.0033638647342995,1,SL,commodities
