instrument,ts,side,fcode,r,bars,reason,klass
ES,2013-03-01 15:00:00+00:00,short,3,-1.0109595480225988,7,SL,indices
YM,2013-03-01 15:00:00+00:00,short,4,-1.0239845989304812,0,SAME_BAR_SL,indices
AUDCAD,2013-03-03 22:00:00+00:00,long,2,-1.0408966027206115,1,SL,fx_cross
GBPAUD,2013-03-04 02:00:00+00:00,short,3,2.448779691548427,11,TP,fx_cross
NZDJPY,2013-03-04 02:00:00+00:00,long,1,2.4723222437137338,10,TP,fx_cross
USDCAD,2013-03-04 02:00:00+00:00,short,3,2.4706305726648,99,TP,fx_major
CHFJPY,2013-03-04 06:00:00+00:00,long,2,2.484925625680087,24,TP,fx_cross
GBPNZD,2013-03-04 06:00:00+00:00,short,3,2.467577970648571,9,TP,fx_cross
EURCHF,2013-03-04 10:00:00+00:00,long,1,2.43214528189911,11,TP,fx_cross
AUDCAD,2013-03-04 14:00:00+00:00,short,4,-1.0550987870239743,3,SL,fx_cross
EURGBP,2013-03-04 14:00:00+00:00,long,2,-1.0544827539503394,4,SL,fx_cross
AUDUSD,2013-03-04 22:00:00+00:00,short,4,-1.0981799312714637,0,SAME_BAR_SL,fx_major
CL,2013-03-04 23:00:00+00:00,short,3,-1.0097303703703704,6,SL,commodities
GBPUSD,2013-03-05 06:00:00+00:00,short,4,-1.0712292281879199,0,SAME_BAR_SL,fx_major
EURUSD,2013-03-05 06:00:00+00:00,short,4,-1.0315181375296396,14,SL,fx_major
NQ,2013-03-05 11:00:00+00:00,short,4,-1.043430243902439,0,SAME_BAR_SL,indices
USDJPY,2013-03-05 14:00:00+00:00,short,3,2.3573846321525735,2,TP,fx_major
GBPUSD,2013-03-05 14:00:00+00:00,long,1,-1.0753383014673146,0,SAME_BAR_SL,fx_major
AUDCAD,2013-03-05 14:00:00+00:00,short,4,-1.0365524270639348,2,SL,fx_cross
GBPCHF,2013-03-05 18:00:00+00:00,long,1,-1.0827297560975586,7,SL,fx_cross
NZDUSD,2013-03-05 18:00:00+00:00,short,3,2.4675601391788446,17,TP,fx_major
NZDCAD,2013-03-06 14:00:00+00:00,short,3,2.470887462144156,11,TP,fx_cross
GBPJPY,2013-03-07 02:00:00+00:00,short,4,-1.0236398561151085,2,SL,fx_cross
GBPCHF,2013-03-07 10:00:00+00:00,short,3,-1.0583064128843347,0,SAME_BAR_SL,fx_cross
EURCAD,2013-03-07 10:00:00+00:00,short,3,-1.03251566493955,1,SL,fx_cross
EURNZD,2013-03-07 10:00:00+00:00,short,3,-1.0731879601990053,1,SL,fx_cross
GBPAUD,2013-03-07 10:00:00+00:00,short,3,2.468010969377803,16,TP,fx_cross
CADJPY,2013-03-07 10:00:00+00:00,short,4,-1.031469012875536,1,SL,fx_cross
GBPNZD,2013-03-07 10:00:00+00:00,short,4,-1.028533742607716,0,SAME_BAR_SL,fx_cross
GBPUSD,2013-03-07 14:00:00+00:00,long,2,-1.0307085234531845,5,SL,fx_major
NZDCHF,2013-03-07 14:00:00+00:00,long,1,2.464940449438202,25,TP,fx_cross
CADJPY,2013-03-08 02:00:00+00:00,short,3,-1.0447120241691819,2,SL,fx_cross
CHFJPY,2013-03-08 10:00:00+00:00,short,3,-1.0175105562422742,9,SL,fx_cross
AUDCHF,2013-03-08 10:00:00+00:00,short,3,-1.0408330879038312,0,SAME_BAR_SL,fx_cross
NZDJPY,2013-03-08 10:00:00+00:00,short,3,-1.0492225083240838,0,SAME_BAR_SL,fx_cross
EURUSD,2013-03-08 10:00:00+00:00,short,4,2.4263234904714213,1,TP,fx_major
EURAUD,2013-03-08 10:00:00+00:00,long,2,-1.0421943060498213,1,SL,fx_cross
EURCAD,2013-03-08 10:00:00+00:00,long,1,-1.0852306015891078,0,SAME_BAR_SL,fx_cross
NZDCAD,2013-03-08 14:00:00+00:00,long,1,2.461852944983819,7,TP,fx_cross
GBPNZD,2013-03-08 14:00:00+00:00,short,3,-1.0467565861513677,0,SAME_BAR_SL,fx_cross
EURNZD,2013-03-08 14:00:00+00:00,long,1,2.4678695658518786,29,TP,fx_cross
EURCHF,2013-03-08 14:00:00+00:00,long,1,-1.0722636619718346,10,SL,fx_cross
GBPJPY,2013-03-08 14:00:00+00:00,long,1,2.4352538511326856,7,TP,fx_cross
AUDJPY,2013-03-08 18:00:00+00:00,short,3,-1.0102351203133744,7,SL,fx_cross
