instrument,model,side,bias,quintile,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
NFLX,S3,long,RISK_ON,1,2017-08-08 00:00:00+00:00,2017-08-09 00:00:00+00:00,178.53835999999998,175.27471428571428,-1.0,-0.005,1,SL,False
EQIX,S3,long,RISK_ON,1,2017-08-09 00:00:00+00:00,2017-09-13 00:00:00+00:00,448.25780999999995,458.87,0.8126317788008491,0.0040631588940042455,24,EMA_TRAIL,True
ATVI,S3,long,RISK_ON,1,2017-08-09 00:00:00+00:00,2017-09-18 00:00:00+00:00,61.441379999999995,64.2,1.433578308473348,0.00716789154236674,27,EMA_TRAIL,True
AME,S3,long,RISK_ON,1,2017-08-09 00:00:00+00:00,2017-08-10 00:00:00+00:00,63.62356,62.78097857142857,-1.0,-0.005,1,SL,False
TPR,S3,long,RISK_ON,1,2017-08-09 00:00:00+00:00,2017-08-10 00:00:00+00:00,47.807759999999995,47.09,-0.7616564366026544,-0.0038082821830132717,1,SMA50_BREAK,False
EA,S3,long,RISK_ON,1,2017-08-09 00:00:00+00:00,2017-08-24 00:00:00+00:00,116.22610999999999,116.22610999999999,0.4895174398831033,0.0024475871994155164,11,STOP_AFTER_TP1,True
CDNS,S3,long,RISK_ON,1,2017-08-09 00:00:00+00:00,2017-08-10 00:00:00+00:00,36.59656,36.081471428571426,-1.0,-0.005,1,SL,False
AMG,S3,long,RISK_ON,1,2017-08-14 00:00:00+00:00,2017-08-18 00:00:00+00:00,178.56838999999997,171.95254285714284,-1.0,-0.005,4,SL,False
VRSN,S3,long,RISK_ON,1,2017-08-14 00:00:00+00:00,2017-09-25 00:00:00+00:00,98.94884999999998,103.35,1.7743422678267438,0.008871711339133719,29,EMA_TRAIL,True
BA,S3,long,RISK_ON,1,2017-08-14 00:00:00+00:00,2017-10-25 00:00:00+00:00,237.38715,258.4,1.1545066973997615,0.005772533486998807,51,EMA_TRAIL,True
FCX,S3,long,RISK_ON,1,2017-08-14 00:00:00+00:00,2017-08-30 00:00:00+00:00,14.16415,14.56,1.113431659772081,0.005567158298860405,12,EMA_TRAIL,True
INFO,S3,long,RISK_ON,1,2017-08-14 00:00:00+00:00,2017-08-18 00:00:00+00:00,46.02597999999999,45.75,-0.22838234590019288,-0.0011419117295009644,4,SMA50_BREAK,False
AME,S3,long,RISK_ON,1,2017-08-14 00:00:00+00:00,2017-08-29 00:00:00+00:00,63.18311999999999,61.940625,-1.0,-0.005,11,SL,False
BBY,S3,long,RISK_ON,1,2017-08-14 00:00:00+00:00,2017-08-15 00:00:00+00:00,60.770709999999994,59.15144285714286,-1.0,-0.005,1,SL,False
VRTX,S3,long,RISK_ON,1,2017-08-14 00:00:00+00:00,2017-09-20 00:00:00+00:00,154.64449,152.72,-0.24872139938293314,-0.0012436069969146658,26,SMA50_BREAK,False
AMP,S3,long,RISK_ON,1,2017-08-14 00:00:00+00:00,2017-08-17 00:00:00+00:00,145.28513999999998,141.48982142857142,-1.0,-0.005,3,SL,False
C,S3,long,RISK_ON,1,2017-08-14 00:00:00+00:00,2017-08-18 00:00:00+00:00,67.95788999999999,66.58,-0.7219305211772467,-0.003609652605886233,4,SMA50_BREAK,False
CAT,S3,long,RISK_ON,1,2017-08-14 00:00:00+00:00,2017-11-15 00:00:00+00:00,113.82370999999998,134.1,7.47698827983221,0.03738494139916105,66,EMA_TRAIL,True
GPN,S3,long,RISK_ON,1,2017-08-14 00:00:00+00:00,2017-09-20 00:00:00+00:00,94.57448,95.62,0.8475434469711514,0.004237717234855757,26,EMA_TRAIL,True
PYPL,S3,long,RISK_ON,1,2017-08-14 00:00:00+00:00,2017-11-29 00:00:00+00:00,59.11906,73.25,4.925633708094446,0.02462816854047223,75,EMA_TRAIL,True
STT,S3,long,RISK_ON,1,2017-08-14 00:00:00+00:00,2017-09-05 00:00:00+00:00,93.61351999999998,91.79,-0.6649249118943097,-0.0033246245594715485,15,SMA50_BREAK,False
AET,S3,long,RISK_ON,1,2017-08-15 00:00:00+00:00,2017-09-19 00:00:00+00:00,155.91575999999998,155.91575999999998,0.4297841726312777,0.0021489208631563887,24,STOP_AFTER_TP1,True
RHT,S3,long,RISK_ON,1,2017-08-15 00:00:00+00:00,2017-09-25 00:00:00+00:00,100.08998999999999,105.76,2.22264664294872,0.011113233214743602,28,EMA_TRAIL,True
BK,S3,long,RISK_ON,1,2017-08-15 00:00:00+00:00,2017-08-17 00:00:00+00:00,53.203149999999994,52.27571428571428,-1.0,-0.005,2,SL,False
HBI,S3,long,RISK_ON,1,2017-08-15 00:00:00+00:00,2017-08-18 00:00:00+00:00,24.07405,23.400907142857143,-1.0,-0.005,3,SL,False
EL,S3,long,RISK_ON,1,2017-08-15 00:00:00+00:00,2017-08-17 00:00:00+00:00,101.14103999999999,99.11006071428572,-1.0,-0.005,2,SL,False
AON,S3,long,RISK_ON,1,2017-08-15 00:00:00+00:00,2017-08-17 00:00:00+00:00,139.41928,138.1082142857143,-1.0,-0.005,2,SL,False
TDG,S3,long,RISK_ON,1,2017-08-16 00:00:00+00:00,2017-08-17 00:00:00+00:00,280.64036,274.69,-0.7611972606962969,-0.0038059863034814847,1,SMA50_BREAK,False
ESS,S3,long,RISK_ON,1,2017-08-16 00:00:00+00:00,2017-08-18 00:00:00+00:00,262.9627,260.76,-0.6420990056541647,-0.0032104950282708235,2,SMA50_BREAK,False
