instrument,model,side,bias,quintile,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
BEN,S3,long,RISK_ON,5,2014-06-24 00:00:00+00:00,2014-07-10 00:00:00+00:00,57.51745999999999,56.92788214285714,-1.0,-0.005,11,SL,False
CMA,S3,long,RISK_ON,5,2014-06-24 00:00:00+00:00,2014-06-25 00:00:00+00:00,50.270219999999995,49.771074999999996,-1.0,-0.005,1,SL,False
WAT,S3,long,RISK_ON,5,2014-06-24 00:00:00+00:00,2014-06-30 00:00:00+00:00,105.09498999999998,104.29216785714286,-1.0,-0.005,4,SL,False
INCY,S3,long,RISK_ON,5,2014-06-24 00:00:00+00:00,2014-07-02 00:00:00+00:00,55.82577,55.82577,0.29077595950661084,0.0014538797975330543,6,STOP_AFTER_TP1,True
VRSN,S3,long,RISK_ON,5,2014-06-24 00:00:00+00:00,2014-06-27 00:00:00+00:00,51.14109,50.287499999999994,-1.0,-0.005,3,SL,False
JPM,S3,long,RISK_ON,5,2014-06-24 00:00:00+00:00,2014-06-26 00:00:00+00:00,57.477419999999995,56.86,-1.0,-0.005,2,SL,False
LNC,S3,long,RISK_ON,5,2014-06-24 00:00:00+00:00,2014-06-25 00:00:00+00:00,51.461409999999994,50.93089285714286,-1.0,-0.005,1,SL,False
NWL,S3,long,RISK_ON,5,2014-06-24 00:00:00+00:00,2014-07-16 00:00:00+00:00,30.990959999999998,31.18,0.8267347020962683,0.004133673510481341,15,EMA_TRAIL,True
LNC,S3,long,RISK_ON,5,2014-06-25 00:00:00+00:00,2014-07-10 00:00:00+00:00,51.461409999999994,51.461409999999994,0.49682731438264327,0.0024841365719132165,10,STOP_AFTER_TP1,True
A,S3,long,RISK_ON,5,2014-06-25 00:00:00+00:00,2014-07-08 00:00:00+00:00,58.02796999999999,56.966967857142855,-1.0,-0.005,8,SL,False
PAYX,S3,long,RISK_ON,5,2014-06-25 00:00:00+00:00,2014-06-30 00:00:00+00:00,41.43138999999999,40.95778571428571,-1.0,-0.005,3,SL,False
PRU,S3,long,RISK_ON,5,2014-06-26 00:00:00+00:00,2014-07-08 00:00:00+00:00,89.22913999999999,89.22913999999999,0.3160070531896936,0.001580035265948468,7,STOP_AFTER_TP1,True
FITB,S3,long,RISK_ON,5,2014-06-26 00:00:00+00:00,2014-07-17 00:00:00+00:00,21.311289999999996,20.937857142857144,-1.0,-0.005,14,SL,False
GS,S3,long,RISK_ON,5,2014-06-26 00:00:00+00:00,2014-07-08 00:00:00+00:00,168.17800999999997,165.41750357142857,-1.0,-0.005,7,SL,False
ETN,S3,long,RISK_ON,5,2014-06-26 00:00:00+00:00,2014-07-21 00:00:00+00:00,77.04696999999999,77.04696999999999,0.6204787993885562,0.003102393996942781,16,STOP_AFTER_TP1,True
CMA,S3,long,RISK_ON,5,2014-06-26 00:00:00+00:00,2014-07-08 00:00:00+00:00,50.270219999999995,50.270219999999995,0.3340813628936329,0.0016704068144681645,7,STOP_AFTER_TP1,True
LUK,S3,long,RISK_ON,5,2014-06-26 00:00:00+00:00,2014-07-02 00:00:00+00:00,26.25623,25.872464285714283,-1.0,-0.005,4,SL,False
RF,S3,long,RISK_ON,5,2014-06-27 00:00:00+00:00,2014-07-08 00:00:00+00:00,10.68067,10.68067,0.29982984906809373,0.0014991492453404686,6,STOP_AFTER_TP1,True
SCHW,S3,long,RISK_ON,5,2014-06-30 00:00:00+00:00,2014-07-08 00:00:00+00:00,26.956929999999996,26.956929999999996,0.30898999468014454,0.0015449499734007228,5,STOP_AFTER_TP1,True
HBAN,S3,long,RISK_ON,5,2014-06-30 00:00:00+00:00,2014-07-08 00:00:00+00:00,9.549539999999999,9.549539999999999,0.45170522299070953,0.002258526114953548,5,STOP_AFTER_TP1,True
KEY,S3,long,RISK_ON,5,2014-06-30 00:00:00+00:00,2014-07-02 00:00:00+00:00,14.34433,14.34433,0.31462505404983643,0.0015731252702491823,2,STOP_AFTER_TP1,True
ISRG,S3,long,RISK_ON,5,2014-07-01 00:00:00+00:00,2014-07-03 00:00:00+00:00,135.63199649999999,133.68913214285715,-1.0,-0.005,2,SL,False
WAT,S3,long,RISK_ON,5,2014-07-01 00:00:00+00:00,2014-07-08 00:00:00+00:00,105.04493999999998,103.437325,-1.0,-0.005,4,SL,False
ALXN,S1,long,RISK_ON,5,2014-07-01 00:00:00+00:00,2014-07-07 00:00:00+00:00,162.95278999999996,160.66,-0.22294957309462748,-0.0011147478654731375,3,SMA50_BREAK,False
INCY,S3,long,RISK_ON,5,2014-07-02 00:00:00+00:00,2014-07-07 00:00:00+00:00,55.83577999999999,54.76767857142857,-1.0,-0.005,2,SL,False
FLR,S3,long,RISK_ON,5,2014-07-02 00:00:00+00:00,2014-07-21 00:00:00+00:00,77.98790999999999,76.33535714285715,-1.0,-0.005,12,SL,False
RJF,S3,long,RISK_ON,5,2014-07-02 00:00:00+00:00,2014-07-08 00:00:00+00:00,50.800749999999994,50.800749999999994,0.3522288900701798,0.0017611444503508992,3,STOP_AFTER_TP1,True
VMC,S3,long,RISK_ON,5,2014-07-03 00:00:00+00:00,2014-07-31 00:00:00+00:00,64.42436,64.42436,0.3103532615528358,0.0015517663077641792,19,STOP_AFTER_TP1,True
PKG,S3,long,RISK_ON,5,2014-07-03 00:00:00+00:00,2014-07-07 00:00:00+00:00,71.00093,70.15232142857143,-1.0,-0.005,1,SL,False
FB,S3,long,RISK_ON,5,2014-07-03 00:00:00+00:00,2014-07-08 00:00:00+00:00,66.35629,65.0625,-1.0,-0.005,2,SL,False
ISRG,S3,long,RISK_ON,5,2014-07-03 00:00:00+00:00,2014-07-07 00:00:00+00:00,134.81457989999998,132.17873928571427,-1.0,-0.005,1,SL,False
PHM,S3,long,RISK_ON,5,2014-07-07 00:00:00+00:00,2014-07-10 00:00:00+00:00,20.019999999999996,19.701785714285712,-1.0,-0.005,3,SL,False
RHT,S3,long,RISK_ON,5,2014-07-07 00:00:00+00:00,2014-07-08 00:00:00+00:00,55.785729999999994,55.066071428571426,-1.0,-0.005,1,SL,False
BIIB,S3,long,RISK_ON,5,2014-07-07 00:00:00+00:00,2014-07-08 00:00:00+00:00,326.00568,320.56787142857144,-1.0,-0.005,1,SL,False
GPS,S3,long,RISK_ON,5,2014-07-07 00:00:00+00:00,2014-07-08 00:00:00+00:00,41.67163,41.21892857142857,-1.0,-0.005,1,SL,False
CRM,S3,long,RISK_ON,5,2014-07-07 00:00:00+00:00,2014-07-08 00:00:00+00:00,57.39734,56.52431071428571,-1.0,-0.005,1,SL,False
RHT,S3,long,RISK_ON,5,2014-07-08 00:00:00+00:00,2014-09-12 00:00:00+00:00,54.53447999999999,60.53,5.861801943039145,0.029309009715195726,47,EMA_TRAIL,True
NDAQ,S3,long,RISK_ON,5,2014-07-08 00:00:00+00:00,2014-07-10 00:00:00+00:00,38.95892,38.42023571428572,-1.0,-0.005,2,SL,False
EXPE,S3,long,RISK_ON,5,2014-07-08 00:00:00+00:00,2014-09-09 00:00:00+00:00,78.88880999999999,85.93,3.2602555775250126,0.016301277887625063,44,EMA_TRAIL,True
GOOGL,S3,long,RISK_ON,5,2014-07-09 00:00:00+00:00,2014-07-17 00:00:00+00:00,583.94336,583.94336,0.27069594816201725,0.0013534797408100863,6,STOP_AFTER_TP1,True
ETFC,S3,long,RISK_ON,5,2014-07-09 00:00:00+00:00,2014-07-10 00:00:00+00:00,21.53151,21.104,-1.0,-0.005,1,SL,False
BAC,S3,long,RISK_ON,5,2014-07-09 00:00:00+00:00,2014-07-10 00:00:00+00:00,15.615599999999997,15.395360714285713,-1.0,-0.005,1,SL,False
PRGO,S3,long,RISK_ON,5,2014-07-10 00:00:00+00:00,2014-07-31 00:00:00+00:00,147.41727,150.45,1.0567523720626557,0.005283761860313279,15,EMA_TRAIL,True
NDAQ,S3,long,RISK_ON,5,2014-07-10 00:00:00+00:00,2014-09-22 00:00:00+00:00,38.6386,43.25,4.891794013462638,0.02445897006731319,51,EMA_TRAIL,True
BIIB,S3,long,RISK_ON,5,2014-07-10 00:00:00+00:00,2014-07-16 00:00:00+00:00,319.43911999999995,309.906375,-1.0,-0.005,4,SL,False
XLNX,S3,long,RISK_ON,5,2014-07-10 00:00:00+00:00,2014-07-23 00:00:00+00:00,48.36832,47.292857142857144,-1.0,-0.005,9,SL,False
ETFC,S3,long,RISK_ON,5,2014-07-10 00:00:00+00:00,2014-07-17 00:00:00+00:00,21.45143,20.68,-0.7869428928258639,-0.00393471446412932,5,SMA50_BREAK,False
ADS,S3,long,RISK_ON,5,2014-07-11 00:00:00+00:00,2014-07-17 00:00:00+00:00,275.63536,270.3166642857143,-1.0,-0.005,4,SL,False
AKAM,S3,long,RISK_ON,5,2014-07-14 00:00:00+00:00,2014-07-15 00:00:00+00:00,60.40034,59.262342857142855,-1.0,-0.005,1,SL,False
CTSH,S3,long,RISK_ON,5,2014-07-14 00:00:00+00:00,2014-07-17 00:00:00+00:00,49.99995,49.191964285714285,-1.0,-0.005,3,SL,False
ORLY,S3,long,RISK_ON,5,2014-07-15 00:00:00+00:00,2014-07-17 00:00:00+00:00,154.40425,152.87831785714286,-1.0,-0.005,2,SL,False
FB,S3,long,RISK_ON,5,2014-07-17 00:00:00+00:00,2014-09-15 00:00:00+00:00,66.47630989999999,74.58,4.664813609938417,0.023324068049692084,41,EMA_TRAIL,True
ILMN,S3,long,RISK_ON,5,2014-07-18 00:00:00+00:00,2014-07-24 00:00:00+00:00,174.22405,171.8,0.15063261312578793,0.0007531630656289397,4,EMA_TRAIL,True
NWL,S3,long,RISK_ON,5,2014-07-18 00:00:00+00:00,2014-07-29 00:00:00+00:00,31.381349999999998,30.859464285714285,-1.0,-0.005,7,SL,False
NTAP,S3,long,RISK_ON,5,2014-07-18 00:00:00+00:00,2014-09-25 00:00:00+00:00,36.95692,42.17,3.9142598945349807,0.019571299472674903,48,EMA_TRAIL,True
ETFC,S3,long,RISK_ON,5,2014-07-18 00:00:00+00:00,2014-07-24 00:00:00+00:00,21.421399999999995,20.323285714285717,-1.0,-0.005,4,SL,False
PFE,S3,long,RISK_ON,5,2014-07-21 00:00:00+00:00,2014-07-25 00:00:00+00:00,30.380349999999996,30.087142857142858,-1.0,-0.005,4,SL,False
RL,S3,long,RISK_ON,5,2014-07-22 00:00:00+00:00,2014-07-31 00:00:00+00:00,159.38922999999997,156.0639642857143,-1.0,-0.005,7,SL,False
ISRG,S1,long,RISK_ON,5,2014-07-22 00:00:00+00:00,2014-09-22 00:00:00+00:00,130.85061989999997,152.3632,2.095327090696004,0.01047663545348002,43,EMA_TRAIL,True
MA,S3,long,RISK_ON,5,2014-07-23 00:00:00+00:00,2014-07-25 00:00:00+00:00,77.81773999999999,76.58418571428571,-1.0,-0.005,2,SL,False
