instrument,model,side,bias,quintile,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
ORLY,S3,long,RISK_ON,3,2017-01-06 00:00:00+00:00,2017-01-17 00:00:00+00:00,282.06177999999994,278.5696785714286,-1.0,-0.005,6,SL,False
CPB,S3,long,RISK_ON,3,2017-01-06 00:00:00+00:00,2017-01-09 00:00:00+00:00,60.76069999999999,60.226482142857144,-1.0,-0.005,1,SL,False
GE,S3,long,RISK_ON,3,2017-01-06 00:00:00+00:00,2017-01-12 00:00:00+00:00,31.641609999999996,31.14761071428571,-1.0,-0.005,4,SL,False
HD,S3,long,RISK_ON,3,2017-01-09 00:00:00+00:00,2017-02-06 00:00:00+00:00,134.44431,136.49,1.0854219667860312,0.005427109833930156,19,EMA_TRAIL,True
AVB,S3,long,RISK_ON,3,2017-01-09 00:00:00+00:00,2017-01-11 00:00:00+00:00,177.39721999999998,175.418575,-1.0,-0.005,2,SL,False
AIV,S3,long,RISK_ON,3,2017-01-09 00:00:00+00:00,2017-01-10 00:00:00+00:00,45.00496,44.513035714285714,-1.0,-0.005,1,SL,False
WHR,S3,long,RISK_ON,3,2017-01-09 00:00:00+00:00,2017-01-12 00:00:00+00:00,181.79161,179.84767857142856,-1.0,-0.005,3,SL,False
UDR,S3,long,RISK_ON,3,2017-01-09 00:00:00+00:00,2017-01-11 00:00:00+00:00,36.08604999999999,35.65607142857143,-1.0,-0.005,2,SL,False
ESS,S3,long,RISK_ON,3,2017-01-09 00:00:00+00:00,2017-01-11 00:00:00+00:00,230.96072999999996,228.38339642857142,-1.0,-0.005,2,SL,False
PEG,S3,long,RISK_ON,3,2017-01-09 00:00:00+00:00,2017-01-19 00:00:00+00:00,43.56352,43.56352,0.6090127506386169,0.003045063753193085,7,STOP_AFTER_TP1,True
MO,S3,long,RISK_ON,3,2017-01-09 00:00:00+00:00,2017-01-12 00:00:00+00:00,68.01795,67.42799285714285,-1.0,-0.005,3,SL,False
FISV,S3,long,RISK_ON,3,2017-01-10 00:00:00+00:00,2017-01-24 00:00:00+00:00,108.33823,108.33823,0.37145072974400584,0.0018572536487200292,9,STOP_AFTER_TP1,True
VNO,S3,long,RISK_ON,3,2017-01-10 00:00:00+00:00,2017-01-11 00:00:00+00:00,105.10499999999999,103.92696428571428,-1.0,-0.005,1,SL,False
